
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
243.623 97.4492 85.268 10.2619 1.99523 73.1477 
CV Recruit
3.04737 
Alternative 1 Alternative  Stock: GOA_SABLE
Catch GOA_SABLE
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2022  0 16.5922 17.8164 0.999999 0.999999 0.999999 0.999999 1.88738e-14 
2023  0 16.5922 17.8164 27.16 27.16 27.16 27.16 3.71563e-06 
2024  0 16.5922 17.8164 31.4846 31.4847 31.4847 31.4847 8.0562e-06 
2025  0 16.5922 17.8164 5.96099 6.45422 7.76427 12.5389 4.55385 
2026  0 16.5922 17.8164 4.97931 5.87101 7.84822 15.1032 6.66376 
2027  0 16.5922 17.8164 4.14398 5.52217 8.37421 21.0155 8.6742 
2028  0 16.5922 17.8164 3.5103 5.49769 9.35267 30.0497 10.4519 
2029  0 16.5922 17.8164 3.04299 5.86716 10.6329 35.21 11.9835 
2030  0 16.5922 17.8164 2.72258 6.6275 11.9091 38.4435 13.0221 
2031  0 16.5922 17.8164 2.53011 7.63386 12.9772 39.4188 13.4614 
2032  0 16.5922 17.8164 2.45484 8.40495 13.8646 40.3629 13.7205 
2033  0 16.5922 17.8164 2.44424 9.22287 14.5493 41.8138 13.8589 
2034  0 16.5922 17.8164 2.48391 9.95644 15.0399 42.5526 13.7814 
2035  0 16.5922 17.8164 2.53218 10.867 15.4146 42.916 13.6481 
2036  0 16.5922 17.8164 2.59181 11.6328 15.7798 41.6813 13.5461 

Spawning_Biomass GOA_SABLE
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2022 243.623 97.4492 85.268 73.1477 73.1477 73.1477 73.1477 3.69482e-13 
2023 243.623 97.4492 85.268 69.4742 69.5134 69.7145 70.4777 0.74258 
2024 243.623 97.4492 85.268 56.8013 57.0593 57.8062 61.1765 2.42994 
2025 243.623 97.4492 85.268 44.2341 45.0823 46.9544 55.2562 5.72339 
2026 243.623 97.4492 85.268 40.0003 41.7887 45.0257 58.5766 10.0741 
2027 243.623 97.4492 85.268 36.3455 39.9274 45.4983 69.3836 17.2481 
2028 243.623 97.4492 85.268 33.4481 39.9307 48.7903 87.2815 26.8301 
2029 243.623 97.4492 85.268 31.3621 41.8035 54.5337 116.975 37.2303 
