
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
1.81348e+07 7.2539e+06 6.34716e+06 2417.27 3493.59 4.00263e+06 
CV Recruit
0.61954 
Alternative 1 Alternative  Stock: LingN
Catch LingN
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2022  0 3.07273e+06 3.27816e+06 15 15 15 15 0 
2023  0 3.07273e+06 3.27816e+06 15 15 15 15 1.50092e-07 
2024  0 3.07273e+06 3.27816e+06 920570 936722 941628 978252 19468.9 
2025  0 3.07273e+06 3.27816e+06 1.10085e+06 1.16769e+06 1.18763e+06 1.33426e+06 79670 
2026  0 3.07273e+06 3.27816e+06 1.29481e+06 1.48578e+06 1.53733e+06 1.94426e+06 223614 
2027  0 3.07273e+06 3.27816e+06 1.47594e+06 1.86119e+06 1.95752e+06 2.7352e+06 431302 
2028  0 3.07273e+06 3.27816e+06 1.64315e+06 2.23633e+06 2.36482e+06 3.51434e+06 601960 
2029  0 3.07273e+06 3.27816e+06 1.74512e+06 2.57635e+06 2.67741e+06 3.89029e+06 695984 
2030  0 3.07273e+06 3.27816e+06 1.84026e+06 2.80898e+06 2.87283e+06 4.07359e+06 726177 
2031  0 3.07273e+06 3.27816e+06 1.90583e+06 2.92054e+06 2.96395e+06 4.11745e+06 723960 
2032  0 3.07273e+06 3.27816e+06 1.95598e+06 2.98206e+06 3.00631e+06 4.19677e+06 709477 
2033  0 3.07273e+06 3.27816e+06 1.97136e+06 3.00844e+06 3.0231e+06 4.21101e+06 692866 
2034  0 3.07273e+06 3.27816e+06 1.95653e+06 2.99808e+06 3.02103e+06 4.19746e+06 683287 
2035  0 3.07273e+06 3.27816e+06 1.99474e+06 3.00067e+06 3.01776e+06 4.16359e+06 688313 

Spawning_Biomass LingN
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2022 1.81348e+07 7.2539e+06 6.34716e+06 3.36844e+06 3.36844e+06 3.36844e+06 3.36844e+06 6.75209e-08 
2023 1.81348e+07 7.2539e+06 6.34716e+06 3.77468e+06 3.77992e+06 3.78168e+06 3.79415e+06 6596.57 
2024 1.81348e+07 7.2539e+06 6.34716e+06 4.09447e+06 4.12161e+06 4.12969e+06 4.19027e+06 32195.6 
2025 1.81348e+07 7.2539e+06 6.34716e+06 4.40252e+06 4.50123e+06 4.52786e+06 4.7329e+06 110662 
2026 1.81348e+07 7.2539e+06 6.34716e+06 4.72136e+06 4.96919e+06 5.02367e+06 5.49724e+06 259209 
2027 1.81348e+07 7.2539e+06 6.34716e+06 5.01176e+06 5.4702e+06 5.55629e+06 6.3525e+06 452106 
2028 1.81348e+07 7.2539e+06 6.34716e+06 5.27678e+06 5.93761e+06 6.04808e+06 7.12593e+06 624986 
2029 1.81348e+07 7.2539e+06 6.34716e+06 5.47644e+06 6.35383e+06 6.45043e+06 7.7125e+06 751763 
2030 1.81348e+07 7.2539e+06 6.34716e+06 5.66329e+06 6.66874e+06 6.76417e+06 8.18751e+06 835929 
2031 1.81348e+07 7.2539e+06 6.34716e+06 5.82682e+06 6.86384e+06 6.98868e+06 8.64894e+06 899532 
