Year,Atka,Oflats,OthSpp,Pcod ,Pollock,POP ,RockFish,RockSole,Sable,Gturb,YfinSole,FheadSole,Arrowtooth,AKPlaice,NrthrnRF,Grand Total
1977,,100000,103600,58000,950000,21500,,,7400,,106000,,,,,1346500
1978,24800,159000,111400,70500,950000,21500,,,4500,,126000,,,,,1467700
1979,24800,139000,103600,58000,950000,21500,,,4500,,106000,,,,,1407400
1980,24800,61000,84249,70700,1000000,10750,7727,,5000,,117000,,,,,1381226
1981,24800,61000,84249,78700,1000000,10750,7727,,5000,,117000,,,,,1389226
1982,24800,61000,84249,78700,1000000,10750,7727,,5000,,117000,,,,,1389226
1983,24800,61000,87314,120000,1000000,10750,7727,,5000,,117000,,,,,1433591
1984,35000,111490,48900,210000,1200000,6360,7050,,5340,,230000,,,,,1854140
1985,37700,111400,47980,220000,1200000,4800,6620,,4500,,229900,,,,,1862900
1986,30800,124200,32800,229000,1200000,7625,6625,,6450,33000,209500,,20000,,,1900000
1987,30800,148300,15500,280000,1200000,11025,1880,,7700,20000,187000,,9795,,,1912000
1988,21000,131369,11000,200000,1300000,11000,1500,,8400,11200,254000,,5531,,,1955000
1989,20285,75183,14264,230681,1340000,11000,1500,90763,6200,6800,182675,,6000,,,1985351
1990,21000,60150,5500,227000,1280000,12900,1600,60000,7200,7000,207650,,10000,,,1900000
1991,24000,64675,16000,229000,1300000,15345,1325,90000,6300,7000,135000,,20000,,,1908645
1992,43000,79000,22000,182000,1300000,16640,8215,40000,4400,7000,235000,,10000,,,1947255
1993,64000,79000,28600,164500,1300000,18430,7390,75000,4100,7000,220000,,10000,,,1978020
1994,68000,56000,29500,191000,1330000,14210,8025,75000,3340,7000,150325,,10000,,,1942400
1995,80000,19540,21000,250000,1250000,13610,7223,60000,3800,7000,190000,30000,10227,,,1942400
1996,106157,35000,20125,270000,1190000,21514,1304,70000,2300,7000,200000,30000,9000,,,1962400
1997,66700,50750,25800,270000,1130000,21948,1087,97185,2300,9000,230000,43500,20760,,,1969030
1998,64300,89434,25800,210000,1110000,18962,1054,100000,2680,15000,220000,100000,16000,,,1973230
1999,66400,154000,32860,177000,992000,20362,1054,120000,3200,9000,207980,77300,134354,,,1995510
2000,70800,83813,31360,193000,1139000,21129,1054,137760,3900,9300,123262,52652,131000,,,1998030
2001,69300,28000,28470,188000,1403000,11930,8829,75000,4060,8400,113000,40000,22011,,,2000000
2002,49000,3000,32795,200000,1486100,14800,2065,54000,4480,8000,86000,25000,16000,12000,6760,2000000
2003,60000,3000,34279,207500,1492810,14100,2561,44000,6000,4000,83750,20000,12000,10000,6000,2000000
2004,63000,3000,28480,215500,1493050,12580,1815,41000,6000,3500,86075,19000,12000,10000,5000,2000000
